appid,date,date_month,dauReal,reviews,max_60_newinstalls,max_45_newinstalls,max_90_newinstalls,avg_15_newinstalls,max_90_predictionLoss,category_flag,daily_ratings,max_90_diff_install_uninstall,max_90_daily_ratings,predictionLoss,max_30_newinstalls,avg_30_newinstalls,sum_90_newinstalls,avg_45_predictionLoss,avg_90_predictionLoss,avg_30_predictionLoss,avg_60_diff_install_uninstall,sum_90_diff_install_uninstall
com.app.13421,2024-09-03,202409,827485.0,54224.0,4167,4167,4167,2931.1875,30640,1,166.0,-15831,335.0,23973.0,4167.0,2793.6451612903224,287085,26051.543478260868,26850.659340659346,25677.451612903227,-23249.491803278688,-2100886
com.app.13421,2024-09-04,202409,847822.0,54252.0,4167,4167,4167,2955.5,30640,1,221.0,-15831,335.0,26991.0,4167.0,2781.4193548387098,286573,26066.28260869565,26838.46153846154,25690.1935483871,-23267.09836065574,-2100288
com.app.13421,2024-09-05,202409,842159.0,54272.0,4167,4167,4167,2979.9375,30640,1,148.0,-15831,335.0,25735.0,4167.0,2769.5806451612902,286071,26051.45652173913,26809.956043956045,25615.1935483871,-23262.63934426229,-2098196
com.app.13421,2024-09-06,202409,865491.0,54291.0,4167,4167,4167,3003.1875,30640,1,150.0,-15831,335.0,24916.0,4167.0,2854.516129032258,285576,25987.304347826088,26774.20879120879,25430.548387096773,-23242.54098360656,-2095438
com.app.13421,2024-09-07,202409,671025.0,54308.0,4167,4167,4167,2916.5,30640,1,108.0,-15831,335.0,25317.0,4167.0,2799.6451612903224,283313,25996.043478260868,26753.68131868132,25276.483870967742,-23240.14754098361,-2095833
com.app.13421,2024-09-08,202409,602329.0,54324.0,4167,4167,4167,2924.8125,30640,1,102.0,-15831,335.0,25488.0,4167.0,2795.5806451612902,282569,25928.739130434784,26729.054945054944,25185.83870967742,-23252.27868852459,-2094336
com.app.13421,2024-09-09,202409,965727.0,54332.0,4167,4167,4167,2930.1875,30640,1,143.0,-15831,335.0,25959.0,4167.0,2792.1290322580644,281773,25915.84782608696,26695.92307692308,25180.774193548383,-23216.77049180328,-2092117
com.app.13421,2024-09-10,202409,889453.0,54350.0,4167,4167,4167,2838.0625,30640,1,174.0,-15831,335.0,23971.0,4167.0,2790.0967741935483,280939,25871.17391304348,26652.747252747253,25112.483870967742,-23159.262295081968,-2089022
com.app.13421,2024-09-11,202409,873762.0,54369.0,4167,4167,4167,2824.75,30640,1,187.0,-15831,335.0,26451.0,4167.0,2789.5806451612902,280061,25877.869565217392,26625.56043956044,25126.09677419355,-23141.622950819677,-2087426
com.app.13421,2024-09-12,202409,853743.0,54388.0,4167,4167,4167,2806.0625,30640,1,151.0,-15831,335.0,26164.0,4167.0,2790.7419354838707,279131,25875.84782608696,26591.153846153848,25046.870967741936,-23145.67213114754,-2085225
com.app.13421,2024-09-13,202409,846353.0,54403.0,4167,4167,4167,2781.25,30640,1,138.0,-15831,335.0,24600.0,4167.0,2793.7741935483878,278140,25787.630434782608,26558.42857142857,25014.83870967742,-23115.70491803279,-2083238
com.app.13421,2024-09-14,202409,714608.0,54412.0,4167,4167,4167,2749.5,30640,1,99.0,-15831,335.0,25324.0,4167.0,2785.0967741935483,277077,25754.5,26537.021978021978,24926.35483870968,-23063.09836065574,-2082353
com.app.13421,2024-09-15,202409,594887.0,54431.0,4167,4167,4167,2805.4375,30640,1,71.0,-15831,335.0,25896.0,4167.0,2824.1935483870966,277463,25692.195652173912,26518.23076923077,24906.35483870968,-23059.918032786885,-2080257
com.app.13421,2024-09-16,202409,924783.0,54454.0,4167,4167,4167,2788.375,30640,1,163.0,-15831,335.0,25966.0,4167.0,2828.2903225806454,280260,25636.78260869565,26493.527472527472,24905.483870967742,-23032.131147540986,-2103426
com.app.13421,2024-09-17,202409,845469.0,54471.0,4167,4167,4167,2768.125,30640,1,247.0,-15831,335.0,23708.0,4167.0,2833.451612903226,283067,25600.369565217392,26454.879120879123,24814.93548387097,-22985.65573770492,-2124327
com.app.13421,2024-09-18,202409,838163.0,54499.0,4167,4167,4167,2758.125,30640,1,199.0,-15831,335.0,26482.0,4167.0,2839.6451612903224,282363,25629.760869565216,26413.879120879123,24815.35483870968,-22994.786885245903,-2121300
com.app.13421,2024-09-19,202409,839289.0,54521.0,4167,4167,4167,2748.625,30640,1,174.0,-15831,335.0,26460.0,4167.0,2846.8064516129034,281684,25626.804347826088,26388.472527472528,24747.516129032258,-23006.360655737702,-2119667
com.app.13421,2024-09-20,202409,863992.0,54540.0,4167,4167,4167,2740.4375,30640,1,159.0,-15831,335.0,25209.0,4167.0,2854.8064516129034,281041,25564.82608695652,26367.725274725275,24744.129032258064,-22995.049180327867,-2118422
com.app.13421,2024-09-21,202409,704471.0,54553.0,4167,4167,4167,2803.0,30640,1,121.0,-15831,335.0,25623.0,4167.0,2898.8387096774195,281542,25455.760869565216,26354.07692307692,24698.064516129038,-22947.90163934426,-2116679
com.app.13421,2024-09-22,202409,582286.0,54576.0,4167,4167,4167,2848.0,30640,1,103.0,-15831,335.0,26018.0,4167.0,2934.3870967741937,281770,25367.17391304348,26336.20879120879,24852.8064516129,-22959.967213114756,-2114825
com.app.13421,2024-09-23,202409,905304.0,54604.0,4167,4167,4167,2964.8125,30640,1,170.0,-15831,335.0,26511.0,4167.0,2950.1290322580644,281378,25328.32608695652,26314.252747252747,25095.483870967742,-22930.0,-2113219
com.app.13421,2024-09-24,202409,827728.0,54623.0,4167,4167,4167,2990.0,30640,1,144.0,-15831,335.0,23617.0,4167.0,2967.548387096774,281034,25274.0,26277.08791208791,25261.387096774197,-22885.44262295082,-2110181
com.app.13421,2024-09-25,202409,835431.0,54646.0,4167,4167,4167,3021.75,30640,1,224.0,-15831,335.0,26154.0,4028.0,2937.548387096774,280744,25275.434782608696,26253.07692307692,25362.290322580644,-22890.180327868853,-2108286
com.app.13421,2024-09-26,202409,830940.0,54670.0,4167,4167,4167,3059.4375,30640,1,191.0,-15831,335.0,26207.0,4028.0,2951.548387096774,280513,25279.304347826088,26227.42857142857,25581.032258064515,-22892.868852459014,-2106183
com.app.13421,2024-09-27,202409,824060.0,54692.0,4167,4167,4167,3103.875,30640,1,138.0,-15831,335.0,24520.0,4028.0,2966.516129032258,280346,25190.17391304348,26199.82417582417,25601.548387096773,-22864.950819672133,-2103838
com.app.13421,2024-09-28,202409,683134.0,54712.0,4167,4167,4167,3155.8125,30640,1,120.0,-15831,335.0,24637.0,4028.0,2982.483870967742,280247,25169.391304347828,26172.021978021978,25521.612903225807,-22798.45901639344,-2101407
com.app.13421,2024-09-29,202409,564711.0,54721.0,4167,4167,4167,3206.1875,30640,1,61.0,-15831,335.0,24886.0,4028.0,2994.4193548387098,280426,25100.239130434784,26146.736263736264,25471.387096774197,-22767.131147540986,-2098927
com.app.13421,2024-09-30,202409,901047.0,54744.0,4167,4167,4167,3257.375,30640,1,173.0,-15831,335.0,26279.0,4028.0,3003.0,280234,25095.08695652174,26128.153846153848,25479.451612903227,-22728.22950819672,-2097428
com.app.13655,2024-09-01,202409,10268.0,26437.0,1790,1790,1790,239.9375,1852,1,-1.0,193,8.0,1218.0,801.0,364.0967741935484,47396,1323.9347826086955,1349.1538461538462,1291.967741935484,-839.5901639344262,-72530
com.app.13655,2024-09-02,202409,16412.0,26436.0,1790,1790,1790,217.75,1852,1,-1.0,193,8.0,1279.0,801.0,355.0,46839,1321.4130434782608,1346.9450549450548,1290.1935483870968,-842.983606557377,-72886
com.app.13655,2024-09-03,202409,15759.0,26433.0,1790,1790,1790,214.0625,1852,1,-1.0,193,8.0,1268.0,801.0,345.35483870967744,46326,1320.0217391304348,1345.9120879120878,1289.483870967742,-848.8688524590164,-73305
com.app.13655,2024-09-04,202409,15689.0,26433.0,1790,1790,1790,210.0,1852,1,0.0,193,8.0,1267.0,801.0,331.1935483870968,45767,1319.9130434782608,1344.3846153846157,1288.258064516129,-851.672131147541,-73725
com.app.13655,2024-09-05,202409,16361.0,26433.0,1790,1790,1790,196.4375,1852,1,-1.0,193,8.0,1289.0,801.0,321.8709677419355,45230,1320.0652173913045,1343.0879120879122,1286.354838709677,-856.1311475409836,-74144
com.app.13655,2024-09-06,202409,15893.0,26432.0,1790,1477,1790,199.5625,1852,1,-1.0,193,8.0,1371.0,801.0,326.8709677419355,45082,1313.5,1341.8791208791208,1288.6774193548388,-859.7213114754098,-74182
com.app.13655,2024-09-07,202409,12103.0,26432.0,1790,1477,1790,192.625,1852,1,0.0,193,8.0,1213.0,801.0,311.4516129032258,44550,1310.0,1340.6813186813188,1283.774193548387,-864.4426229508197,-74605
com.app.13655,2024-09-08,202409,10028.0,26432.0,1790,1477,1790,182.25,1852,1,-1.0,193,8.0,1230.0,801.0,301.51612903225805,44318,1307.108695652174,1339.989010989011,1278.967741935484,-867.4918032786885,-74774
com.app.13655,2024-09-09,202409,16876.0,26430.0,1790,1477,1790,167.25,1852,1,-1.0,193,8.0,1281.0,801.0,290.03225806451616,43953,1304.3478260869565,1338.5934065934066,1276.258064516129,-878.688524590164,-75012
com.app.13655,2024-09-10,202409,16477.0,26430.0,1790,1477,1790,166.4375,1852,1,2.0,193,8.0,1266.0,801.0,275.2258064516129,43553,1302.0869565217392,1337.010989010989,1276.2903225806451,-882.7704918032787,-75268
com.app.13655,2024-09-11,202409,15332.0,26433.0,1790,1477,1790,170.3125,1852,1,1.0,193,8.0,1293.0,801.0,269.35483870967744,43013,1302.5,1336.4175824175825,1278.548387096774,-879.9016393442623,-75754
com.app.13655,2024-09-12,202409,14944.0,26434.0,1790,1477,1790,175.6875,1852,1,1.0,193,8.0,1304.0,801.0,258.5483870967742,42607,1303.2826086956522,1334.967032967033,1277.0967741935483,-883.8852459016393,-76028
com.app.13655,2024-09-13,202409,14680.0,26435.0,1790,801,1790,173.3125,1852,1,0.0,193,8.0,1302.0,801.0,246.7741935483871,42176,1291.3260869565215,1333.362637362637,1275.645161290323,-882.4262295081967,-76313
com.app.13655,2024-09-14,202409,12340.0,26435.0,1790,801,1790,176.375,1852,1,0.0,193,8.0,1218.0,801.0,238.51612903225808,41865,1289.9130434782608,1332.2307692307693,1271.4193548387098,-901.4262295081968,-76521
com.app.13655,2024-09-15,202409,9453.0,26436.0,1790,801,1790,173.3125,1852,1,0.0,193,8.0,1218.0,801.0,228.5483870967742,41436,1287.0652173913045,1331.1978021978025,1267.3225806451612,-905.6229508196722,-76856
com.app.13655,2024-09-16,202409,15590.0,26434.0,1790,801,1790,169.3125,1852,1,1.0,193,8.0,1276.0,469.0,206.1290322580645,41542,1285.3478260869565,1329.4175824175825,1268.1612903225807,-912.7868852459015,-78026
com.app.13655,2024-09-17,202409,14768.0,26435.0,1790,801,1790,167.75,1852,1,1.0,193,8.0,1262.0,469.0,196.1290322580645,41675,1283.7826086956522,1327.8021978021975,1268.3225806451612,-917.2622950819672,-79155
com.app.13655,2024-09-18,202409,14608.0,26434.0,1790,801,1790,170.125,1852,1,1.0,193,8.0,1281.0,469.0,192.7741935483871,40889,1283.5869565217392,1326.5494505494505,1269.7096774193549,-919.4754098360656,-79827
com.app.13655,2024-09-19,202409,14491.0,26434.0,1790,801,1790,169.875,1852,1,0.0,193,8.0,1295.0,469.0,191.67741935483872,40427,1283.3695652173913,1324.4835164835165,1270.6774193548388,-926.4590163934428,-80101
com.app.13655,2024-09-20,202409,15241.0,26434.0,1790,801,1790,173.9375,1852,1,0.0,193,8.0,1297.0,469.0,186.03225806451613,40140,1282.2608695652175,1323.175824175824,1271.3870967741937,-933.1967213114754,-80269
com.app.13655,2024-09-21,202409,12324.0,26434.0,1477,801,1790,181.3125,1852,1,0.0,193,8.0,1214.0,469.0,181.4516129032258,39796,1280.4130434782608,1321.5054945054944,1268.967741935484,-950.4754098360656,-80461
com.app.13655,2024-09-22,202409,9200.0,26435.0,1477,801,1790,159.9375,1852,1,0.0,193,8.0,1220.0,469.0,181.48387096774192,39294,1277.2608695652175,1320.0879120879122,1267.0645161290322,-956.7213114754098,-80834
com.app.13655,2024-09-23,202409,15170.0,26435.0,1477,801,1790,169.375,1852,1,0.0,193,8.0,1277.0,469.0,175.4193548387097,38349,1275.0434782608695,1317.824175824176,1266.1612903225807,-960.4754098360656,-81573
com.app.13655,2024-09-24,202409,16881.0,26436.0,1477,801,1790,167.0,1852,1,4.0,193,8.0,1326.0,469.0,169.4193548387097,37603,1274.195652173913,1317.0,1269.645161290323,-966.360655737705,-82244
com.app.13655,2024-09-25,202409,15879.0,26437.0,1477,801,1790,162.9375,1852,1,1.0,193,8.0,1299.0,469.0,164.5483870967742,37114,1274.9347826086955,1315.9450549450548,1271.5806451612902,-973.1803278688524,-82637
com.app.13655,2024-09-26,202409,15024.0,26436.0,1477,801,1790,170.125,1852,1,0.0,193,8.0,1302.0,469.0,168.32258064516128,36741,1276.6521739130435,1314.4945054945056,1272.7096774193549,-981.1803278688524,-82878
com.app.13655,2024-09-27,202409,14473.0,26435.0,1477,801,1790,166.875,1852,1,0.0,193,8.0,1332.0,469.0,170.4193548387097,36306,1276.2826086956522,1313.3406593406594,1274.8064516129032,-991.9344262295082,-83208
com.app.13655,2024-09-28,202409,12006.0,26434.0,801,801,1790,164.9375,1852,1,3.0,193,8.0,1211.0,469.0,170.09677419354838,36045,1273.3260869565215,1312.3076923076924,1272.7096774193549,-1002.9016393442624,-83375
com.app.13655,2024-09-29,202409,8926.0,26437.0,801,801,1790,164.9375,1852,1,1.0,193,8.0,1236.0,469.0,168.03225806451613,35603,1270.8695652173913,1311.3736263736264,1270.7096774193549,-1002.0819672131148,-83732
com.app.13655,2024-09-30,202409,16132.0,26435.0,801,801,1790,161.125,1852,1,1.0,193,8.0,1302.0,469.0,168.2258064516129,35456,1269.9347826086955,1311.241758241758,1270.516129032258,-1005.9180327868852,-83867
com.app.14509,2024-09-01,202409,1077402.0,614978.0,42146,42146,42146,14780.4375,46760,1,218.0,-1084,1254.0,32935.0,24001.0,14204.516129032258,1631700,37078.108695652176,39071.83516483517,35763.51612903226,-21059.27868852459,-1839927
com.app.14509,2024-09-02,202409,1429827.0,615109.0,42146,42146,42146,14929.3125,46760,1,545.0,-1084,1254.0,43133.0,24001.0,13986.32258064516,1602530,37191.391304347824,39070.395604395606,35999.354838709674,-21144.360655737702,-1868966
com.app.14509,2024-09-03,202409,1474524.0,615261.0,42146,42146,42146,14235.875,46760,1,770.0,-1084,1254.0,43153.0,24001.0,13567.83870967742,1596943,37340.391304347824,39059.71428571428,36659.35483870968,-21565.09836065574,-1873581
