appId,date,country,lang,predictionLoss
com.app.38566,2024-01-10,br,pt,4963
com.app.72306,2024-01-10,br,pt,7812
com.app.16773,2024-01-10,br,pt,14672
com.app.34610,2024-01-10,br,pt,1926
com.app.27567,2024-01-10,br,pt,2231
com.app.68015,2024-01-10,br,pt,28449
com.app.13421,2024-01-10,br,pt,30423
com.app.41993,2024-01-10,br,pt,1919
com.app.94251,2024-01-10,br,pt,1740
com.app.24438,2024-01-10,br,pt,10782
com.app.91093,2024-01-10,br,pt,14881
com.app.79754,2024-01-10,br,pt,7238
com.app.96037,2024-01-10,br,pt,3537
com.app.13655,2024-01-10,br,pt,1539
com.app.35851,2024-01-10,br,pt,9700
com.app.81778,2024-01-10,br,pt,1787
com.app.43563,2024-01-10,br,pt,4038
com.app.32607,2024-01-10,br,pt,2140
com.app.44541,2024-01-10,br,pt,8054
com.app.15675,2024-01-10,br,pt,2513
com.app.37904,2024-01-10,br,pt,14992
com.app.88516,2024-01-11,br,pt,8611
com.app.80569,2024-01-11,br,pt,4515
com.app.59849,2024-01-11,br,pt,22111
com.app.93571,2024-01-11,br,pt,139177
com.app.36612,2024-01-11,br,pt,4948
com.app.96938,2024-01-11,br,pt,6612
com.app.72656,2024-01-11,br,pt,6874
com.app.96434,2024-01-11,br,pt,1809
com.app.82889,2024-01-11,br,pt,1936
com.app.85803,2024-01-11,br,pt,890
com.app.78155,2024-01-11,br,pt,1399
com.app.85231,2024-01-11,br,pt,1708
com.app.14811,2024-01-11,br,pt,1678
com.app.78470,2024-01-11,br,pt,3803
com.app.70060,2024-01-11,br,pt,1809
com.app.97988,2024-01-11,br,pt,6121
com.app.24343,2024-01-11,br,pt,9775
com.app.48065,2024-01-11,br,pt,26933
com.app.40009,2024-01-11,br,pt,1686
com.app.96897,2024-01-11,br,pt,3163
com.app.86367,2024-01-11,br,pt,2424
com.app.78762,2024-01-11,br,pt,8777
com.app.97976,2024-01-11,br,pt,9086
com.app.92275,2024-01-11,br,pt,6126
com.app.79907,2024-01-11,br,pt,1402
com.app.78794,2024-01-11,br,pt,153322
com.app.64667,2024-01-11,br,pt,14506
com.app.65216,2024-01-11,br,pt,5944
com.app.34656,2024-01-11,br,pt,7166
com.app.21397,2024-01-11,br,pt,9833
com.app.81754,2024-01-11,br,pt,7349
com.app.95194,2024-01-11,br,pt,33487
com.app.37962,2024-01-11,br,pt,8347
com.app.74794,2024-01-11,br,pt,14670
com.app.66274,2024-01-11,br,pt,688
com.app.84679,2024-01-11,br,pt,1809
com.app.68335,2024-01-11,br,pt,1809
com.app.92210,2024-01-11,br,pt,4347
com.app.64353,2024-01-11,br,pt,2475
com.app.22262,2024-01-11,br,pt,5660
com.app.13071,2024-01-11,br,pt,1941
com.app.24391,2024-01-11,br,pt,2079
com.app.83359,2024-01-11,br,pt,3867
com.app.36145,2024-01-11,br,pt,14290
com.app.99432,2024-01-11,br,pt,15101
com.app.63770,2024-01-11,br,pt,6197
com.app.54019,2024-01-11,br,pt,4965
com.app.53788,2024-01-11,br,pt,1400
com.app.55537,2024-01-11,br,pt,10337
com.app.55621,2024-01-11,br,pt,18959
com.app.23305,2024-01-11,br,pt,130548
com.app.87209,2024-01-11,br,pt,1942
com.app.37873,2024-01-11,br,pt,14779
com.app.33540,2024-01-11,br,pt,13183
com.app.62109,2024-01-11,br,pt,22126
com.app.41189,2024-01-11,br,pt,75254
com.app.50760,2024-01-11,br,pt,684
com.app.36648,2024-01-11,br,pt,2451
com.app.31153,2024-01-11,br,pt,53204
com.app.19772,2024-01-11,br,pt,5824
com.app.82896,2024-01-11,br,pt,3334
com.app.96361,2024-01-11,br,pt,2871
com.app.38543,2024-01-11,br,pt,6935
com.app.45949,2024-01-11,br,pt,40840
com.app.48916,2024-01-11,br,pt,890
com.app.26790,2024-01-11,br,pt,1767
com.app.88311,2024-01-11,br,pt,2403
com.app.90856,2024-01-11,br,pt,2346
com.app.14509,2024-01-11,br,pt,56339
com.app.31097,2024-01-11,br,pt,7197
com.app.37541,2024-01-11,br,pt,3813
com.app.65327,2024-01-11,br,pt,4954
com.app.60423,2024-01-11,br,pt,6838
com.app.88484,2024-01-11,br,pt,80653
com.app.23000,2024-01-11,br,pt,1905
com.app.84594,2024-01-11,br,pt,1906
com.app.88832,2024-01-11,br,pt,4627
com.app.17441,2024-01-11,br,pt,3968
com.app.10626,2024-01-11,br,pt,35005
com.app.39058,2024-01-11,br,pt,1809
com.app.55531,2024-01-11,br,pt,1809
com.app.18664,2024-01-11,br,pt,1844
com.app.16599,2024-01-11,br,pt,1498
com.app.34279,2024-01-11,br,pt,1809
com.app.62062,2024-01-11,br,pt,3462
com.app.87362,2024-01-11,br,pt,28675
com.app.47938,2024-01-11,br,pt,1842
com.app.45088,2024-01-11,br,pt,88242
com.app.60770,2024-01-11,br,pt,1810
com.app.20103,2024-01-11,br,pt,1802
com.app.91706,2024-01-11,br,pt,4638
com.app.89044,2024-01-11,br,pt,1947
com.app.95733,2024-01-11,br,pt,1420
com.app.17806,2024-01-11,br,pt,40037
com.app.18251,2024-01-11,br,pt,2201
com.app.34216,2024-01-11,br,pt,1809
com.app.86358,2024-01-11,br,pt,2452
com.app.60429,2024-01-11,br,pt,2936
com.app.36433,2024-01-11,br,pt,1941
com.app.98198,2024-01-11,br,pt,1923
com.app.66309,2024-01-11,br,pt,975
com.app.72653,2024-01-11,br,pt,1550
com.app.91205,2024-01-11,br,pt,1809
com.app.36257,2024-01-11,br,pt,8491
com.app.60027,2024-01-11,br,pt,1809
com.app.47280,2024-01-11,br,pt,65646
com.app.58221,2024-01-11,br,pt,9836
